case,case_type,component_categories,status,errors,warnings,roi_boundary_normalized_lines,standard_format,live_format,standard_width,standard_height,standard_channels,live_width,live_height,live_channels,roi_count,standard_brightness,live_brightness,standard_contrast,live_contrast,standard_sharpness,live_sharpness,brightness_delta,contrast_delta,sharpness_delta,raw_luma_mad,aspect_ratio_delta,mean_roi_relative_area,mean_roi_aspect_ratio,standard_keypoints,live_keypoints,feature_match_count,inlier_count,inlier_rate,reprojection_error_pixels,spatial_coverage,center_displacement_pixels,center_displacement_relative_diagonal,corner_displacement_median_pixels,projected_corners_in_live_frame,projected_area_ratio,projected_geometry_valid,alignment_diagnostic,alignment_diagnostic_reasons,homography_available,ecc_converged,ecc_correlation,valid_overlap_available,valid_overlap_ratio
"220kV廷苑站-#1主变_C相变中套管末屏_日常","日常","180","valid","","",0,"jpg","jpg",1920,1080,3,1920,1080,3,1,93.87329813,100.4422729,44.58963824,56.4166934,1260.337528,937.4139094,6.56897473,11.82705516,322.9236189,48.08193962,0,0.05635424268,0.4346678961,2000,2000,38,28,0.7368421053,0.4475208416,0.101302761,67.70151796,0.03073280567,110.1648709,2,0.7569233804,true,"usable","",true,true,0.3730265502,true,0.9998307292
"220kV廷苑站-#1主变_C相变高套管升高座_日常","日常","187","valid","","",0,"jpg","jpg",1920,1080,3,1920,1080,3,1,107.335814,83.69954331,52.13451872,81.98289785,877.7857614,1341.662914,23.63627074,29.84837913,463.8771522,92.15108845,0,0.1300548156,0.1914860313,2000,2000,112,93,0.8303571429,0.4997362638,0.06303880599,0.9460875195,0.0004294722594,12.04118265,1,1.004137893,true,"usable","",true,false,,true,0.9893224344
"220kV廷苑站-#1主变_C相变高套管油位_表计","表计","216","valid","","",0,"jpg","jpg",1920,1080,3,1920,1080,3,1,71.11340374,108.5426162,87.11997292,55.69938787,1308.7125,1116.961902,37.42921248,31.42058505,191.7505981,95.91682436,0,0.0263847579,0.3936307455,2000,2000,98,70,0.7142857143,0.4418199032,0.005673603899,70.14083625,0.03184012345,89.49578863,2,1.268562323,true,"unreliable","inlier spatial coverage below diagnostic minimum (0.02)",true,true,0.2790744619,true,0.8186786265
"220kV廷苑站-#1主变_变中中性点套管_日常","日常","178|179","valid","","",0,"jpg","jpg",1920,1080,3,1920,1080,3,2,106.311969,109.504701,57.98130765,78.60833336,817.1725435,1727.183355,3.192731964,20.62702571,910.0108112,57.05183787,0,0.08693151756,0.5245596822,2000,2000,135,122,0.9037037037,0.2275305424,0.1878016683,0.6532138629,0.0002965235539,1.524550042,1,0.9977658816,true,"usable","",true,true,0.4757288434,true,0.9991338735
"220kV廷苑站-#1主变_变低套管_日常","日常","190","valid","","",0,"jpg","jpg",1920,1080,3,1920,1080,3,3,104.6706192,108.3715297,61.27549029,76.02196105,895.7866553,1950.442872,3.700910494,14.74647076,1054.656217,77.2493017,0,0.03897923874,0.3800160071,2000,2000,95,83,0.8736842105,0.5643430571,0.06476350772,0.8683059499,0.0003941636587,9.985074927,1,1.005704996,true,"usable","",true,true,0.2304041098,true,0.989182581
"220kV廷苑站-#1主变_变高中性点套管末屏_日常","日常","180","valid","","",0,"jpg","jpg",1920,1080,3,1920,1080,3,1,110.0765451,118.6793658,48.83347135,67.33106203,870.2214733,1163.975228,8.602820698,18.49759069,293.753755,49.61712432,0,0.03498341326,0.7331114641,1894,2000,121,110,0.9090909091,0.3379008777,0.1381679732,0.4019327472,0.000182455599,1.600738994,1,0.9973528044,true,"usable","",true,true,0.4109746224,true,0.9999469522
"220kV廷苑站-#2主变_B相变中套管_日常","日常","178|179","valid","","",0,"jpg","jpg",1920,1080,3,1920,1080,3,2,88.45171971,100.6990601,61.75012069,92.85207768,796.7566876,2305.45011,12.24734037,31.10195699,1508.693423,84.19603057,0,0.08855659103,0.6702454438,2000,2000,20,15,0.75,0.3966132431,0.016471104,14.24419763,0.006466090728,32.98723813,2,0.9699859924,true,"unreliable","inlier spatial coverage below diagnostic minimum (0.02); ECC correlation below diagnostic minimum after convergence (0.20)",true,true,0.1665056821,true,0.9838541667
"220kV廷苑站-#3主变_B相变中套管接线掌_日常","日常","176|177","valid","","",0,"jpg","jpg",1920,1080,3,1920,1080,3,2,107.3469145,118.1869512,48.49444611,45.94044581,832.5060386,1538.803762,10.84003665,2.5540003,706.2977232,39.7923505,0,0.05711535153,0.4772839456,2000,2000,100,89,0.89,0.1731493358,0.2240762002,0.3372481583,0.000153092315,0.1942388427,1,0.9991020974,true,"usable","",true,true,0.4069370781,true,0.9996773727
"220kV廷苑站-#3主变_变中B相套管末屏_日常","日常","180","valid","","",0,"jpg","jpg",1920,1080,3,1920,1080,3,1,105.4143784,71.30438513,44.01858119,72.24698413,1361.231259,991.8786503,34.10999325,28.22840294,369.3526088,70.70321277,0,0.02341060374,0.353666405,2000,2000,41,36,0.8780487805,0.07796130106,0.1133267358,0.05977657442,2.713531248e-05,3.131002822,2,0.9998572212,true,"unreliable","ECC correlation below diagnostic minimum after convergence (0.20)",true,true,0.09900138033,true,0.99746576
"220kV廷苑站-#3主变_变中中性点套管末屏_日常","日常","180","valid","","",0,"jpg","jpg",1920,1080,3,1920,1080,3,1,116.5586868,107.6202508,68.83022083,66.73091743,1130.634692,1210.803133,8.938436053,2.099303396,80.16844115,59.47957224,0,0.009043741648,0.5393062334,2000,2000,126,105,0.8333333333,0.3517293163,0.5281122823,0.2254190612,0.0001023279892,1.139387681,1,0.9992159772,true,"usable","",true,true,0.4275606602,true,0.9988286073
